Versión de tarifa,Valido desde,ID-Producto,Precio Estandar,Precio Tarifa
COMPRA-ADITMAQ,01/08/2025,01-MP-BASE-ADIT-0001,6.95,6.95
COMPRA-BARENTS,01/08/2025,01-MP-BASE-ADIT-0002,1.78,1.78
COMPRA-DESCALZI,01/08/2025,01-MP-BASE-ADIT-0003,28.7,28.7
COMPRA-TAGLERFOOD,01/08/2025,01-MP-BASE-ADIT-0004,12.32,12.32
COMPRA-ADITMAQ,01/08/2025,01-MP-BASE-ADIT-0005,11,11
COMPRA-TAGLERFOOD,01/08/2025,01-MP-BASE-ADIT-0006,8,8
COMPRA-QUIMASA,01/08/2025,01-MP-BASE-ADIT-0007,1.51,1.51
