Versión de tarifa,Valido desde,ID-Producto,Precio Estandar,Precio Tarifa
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PMPZ-0044,16.4,19.7
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-CURD-0010,11.8,14.2
