CUENTA,DEBITO,CREDITO,DECRIPCION,CENTRO DE COSTO,USUARIO 1,USUARIO 2,TERCERO,PROYECTO 
2.1.02.01.08,154362.36,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
2.1.03.02.01,10256.86,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
2.1.03.02.02,2433.38,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
2.1.03.02.03,1212.73,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
2.1.04.04.02,6493.59,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
2.1.05.02.01,11652.49,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
2.1.05.02.03,38981.87,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
2.1.05.02.06,7049.92,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
2.1.05.02.08,34106.04,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
2.1.05.02.09,78763.76,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
2.1.05.03.01,1167.43,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
2.1.05.03.02,8910.85,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
2.1.06.01.02,105000,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
2.1.06.02.03,905.33,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
2.1.06.02.04,60137.49,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
2.1.07.01.01,3595.37,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
2.1.07.01.04,19625.45,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
2.2.02.01.01,4453.26,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
2.2.02.01.03,85045.67,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
2.2.02.01.06,2699.69,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
2.2.02.01.08,242511.74,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
3.1.01.01.01,81323.64,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
